EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
641,4.3,S,80.0,91.050658,907.0,0.024495178
485,4.1,N,43.0,30.41143651,745.0,0.257602116
9228,4.0,S,65.0,95.0,484.0,0.00757386
8495,4.2,R,49.0,29.0,273.0,0.044922074
560,4.1,S,80.0,31.89007501,238.0,0.108027834
280,4.2,R,57.0,59.40554721,188.0,0.15000124
641,4.3,S,80.0,70.33540008,303.0,0.052435366
9226,4.0,R,20.0,104.0,305.0,0.017922028
718,4.1,N,55.0,29.45762468,369.0,0.154872565
422,4.0,S,55.0,136.4363611,555.0,0.032873195
569,4.1,S,54.0,88.79944249,561.0,0.008210374
8827,4.3,S,71.0,148.0,637.0,0.004393023
250,4.0,N,43.0,41.93432291,350.0,0.021012075
364,4.2,N,53.0,90.03242274,328.0,0.037312171
703,4.0,N,55.0,64.949539,532.0,0.063014324
482,4.2,N,71.0,36.04769647,219.0,0.078785438
534,4.4,N,70.0,37.90836042,472.0,0.36897266
453,4.4,S,69.0,164.6894711,335.0,0.024946328
383,4.1,N,19.0,59.62605695,361.0,0.023077738
8920,4.1,R,52.0,120.0,929.0,0.016600242
371,3.9,N,60.0,72.48239457,459.0,0.01212739
364,4.2,N,53.0,72.31828488,771.0,0.019552392
495,4.4,S,54.0,165.0258181,515.0,0.009155029
598,4.3,S,89.0,7.848497924,1380.0,1.353047958
143,3.9,S,44.0,25.82987954,671.0,0.112616502
728,4.1,N,55.0,69.73501544,771.0,0.045138671
382,4.1,S,83.0,51.30397246,205.0,0.033480291
475,4.1,N,40.0,96.75313263,329.0,0.046928221
622,4.1,R,35.0,147.2207769,303.0,0.004036532
362,4.3,N,55.0,58.87110481,270.0,0.125641451
512,4.1,N,52.0,142.2583958,285.0,0.010908765
317,4.0,N,28.0,74.0245881,483.0,0.031645703
226,4.2,N,51.0,91.51537699,367.0,0.01598688
8920,4.1,R,52.0,93.0,769.0,0.018003588
711,4.0,N,55.0,91.63667954,207.0,0.017196977
280,4.2,R,57.0,37.02179226,277.0,0.094401202
496,4.1,N,88.0,155.6720997,519.0,0.004223036
575,4.2,S,52.0,195.6028843,348.0,0.030836985
8924,3.7,N,60.0,96.0,370.0,0.013985289
9233,4.4,R,50.0,114.0,555.0,0.034465278
220,4.0,S,81.0,103.3816205,558.0,0.008248255
561,4.2,S,76.0,127.9039599,450.0,0.012817872
505,4.2,R,90.0,74.49607668,382.0,0.01857184
334,3.7,S,86.0,54.88630948,660.0,0.011280003
8934,3.8,N,65.0,69.0,460.0,0.016018599
554,4.0,S,62.0,109.4348457,720.0,0.005125013
510,4.2,S,66.0,3.991793258,303.0,2.000590888
155,4.0,N,62.0,172.8918197,388.0,0.002790103
8827,4.3,S,71.0,109.0,654.0,0.007329158
706,4.1,N,55.0,75.08694668,532.0,0.022171925
396,4.2,N,55.0,168.4536465,131.0,0.014847787
614,4.4,N,63.0,144.9766492,369.0,0.017219014
534,4.4,N,70.0,149.8797889,393.0,0.019104203
436,4.1,N,49.0,50.47882506,836.0,0.025103462
8785,4.3,S,69.0,68.0,328.0,0.19717772
8820,4.2,S,89.0,127.0,403.0,0.031082454
395,4.2,N,35.0,163.7146437,303.0,0.026827813
570,4.2,S,75.0,172.0068159,894.0,0.003965334
670,4.0,S,88.0,14.50457782,1380.0,0.053577262
656,4.1,S,59.0,165.7378916,347.0,0.014583762
179,4.2,R,52.0,144.7260727,416.0,0.009796089
226,4.2,N,51.0,126.8290176,359.0,0.013915888
475,4.1,N,40.0,47.83015778,558.0,0.093224039
258,4.2,N,33.0,144.0467357,358.0,0.023975953
532,4.4,S,86.0,118.0473048,567.0,0.010678818
237,4.1,S,90.0,35.28533732,683.0,0.086751746
242,4.2,N,40.0,109.6021853,283.0,0.052567119
742,4.1,N,15.0,118.9385331,323.0,0.00973495
463,4.1,S,73.0,19.39829626,201.0,0.356872046
403,4.4,N,35.0,39.96455652,278.0,0.044698516
662,4.3,N,27.0,64.61988771,340.0,0.049218148
723,4.1,N,54.0,93.69340639,207.0,0.044923475
167,3.7,S,38.0,42.23284143,429.0,0.027329444
512,4.1,N,52.0,95.22311644,234.0,0.041933288
289,3.9,S,61.0,13.04478145,356.0,0.443214542
475,4.1,N,40.0,87.55527273,574.0,0.016666232
261,3.9,N,66.0,27.59307286,323.0,0.072614466
704,4.0,N,55.0,88.50770031,207.0,0.013496828
552,4.1,S,79.0,71.12898237,312.0,0.056086814
512,4.1,N,52.0,81.87908928,599.0,0.006244731
512,4.1,N,52.0,50.32729436,549.0,0.078763385
483,4.3,S,60.0,139.6815961,280.0,0.011303698
600,4.4,S,74.0,76.44407386,329.0,0.041680435
511,4.1,N,52.0,34.57649424,367.0,0.074144059
252,3.8,S,80.0,59.76262902,278.0,0.019022142
513,4.2,S,66.0,6.32433525,303.0,2.136430193
259,4.2,S,89.0,38.9558604,429.0,0.046612174
581,4.3,S,57.0,15.74145733,1380.0,0.106520291
728,4.1,N,55.0,78.71198971,827.0,0.030558577
478,4.3,N,39.0,102.4755697,549.0,0.030462412
719,4.2,N,55.0,127.8706215,747.0,0.012536583
9233,4.4,R,50.0,19.0,965.0,0.236294326
552,4.1,S,79.0,61.63943077,323.0,0.092056312
503,4.0,N,50.0,54.23388171,271.0,0.023638475
376,4.2,S,55.0,65.97684896,313.0,0.014781141
305,4.0,N,38.0,22.31053582,366.0,0.378146092
641,4.3,S,80.0,120.0846187,519.0,0.003371169
463,4.1,S,73.0,139.1728414,466.0,0.013447006
572,4.0,S,62.0,45.42435156,300.0,0.038613997
241,3.9,N,69.0,62.90109906,346.0,0.021204874
467,4.0,N,36.0,78.68064831,466.0,0.019459216
115,4.1,S,86.0,62.0637674,1113.0,0.030362748
575,4.2,S,52.0,162.089663,396.0,0.019453756
735,4.2,S,87.0,98.66497425,459.0,0.07353032
8793,4.2,N,46.0,89.0,462.0,0.027476675
174,3.7,S,77.0,88.90962005,758.0,0.035550395
337,4.3,N,41.0,159.0774492,248.0,0.059192993
392,4.1,N,37.0,76.21236056,278.0,0.040228404
8893,4.3,S,84.0,132.0,660.0,0.024654874
224,4.3,R,50.0,52.18336896,315.0,0.082493015
662,4.3,N,27.0,32.61022709,205.0,0.370889641
9135,4.2,S,82.0,116.0,350.0,0.012403097
730,4.4,R,72.0,113.0685853,273.0,0.035142944
664,4.0,S,90.0,121.9883261,303.0,0.008257555
485,4.1,N,43.0,36.44340544,695.0,0.064420855
242,4.2,N,40.0,67.71847191,330.0,0.040231399
253,4.2,S,57.0,76.46241109,198.0,0.048919459
371,3.9,N,60.0,46.90875314,193.0,0.035406482
8484,4.2,N,69.0,77.0,462.0,0.090981542
